Application,Runtime,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.260941,13.448,13.368,0.995,14.320,14.320
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.274313,13.372,13.460,0.968,14.408,14.408
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.287772,13.458,13.464,0.968,14.414,14.414
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.301236,13.465,13.365,0.968,14.314,14.314
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.314604,13.368,13.352,0.965,14.298,14.298
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.327956,13.352,13.359,0.969,14.305,14.305
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.341338,13.382,13.349,0.943,14.271,14.271
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.354660,13.322,13.210,0.969,14.159,14.159
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.367874,13.214,13.193,0.964,14.138,14.138
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.381083,13.208,13.031,0.954,13.961,13.961
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.394120,13.038,13.041,0.943,13.964,13.964
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.407138,13.018,12.921,0.967,13.867,13.867
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.420073,12.934,12.895,0.952,13.828,13.828
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.433013,12.941,12.817,0.911,13.704,13.704
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.445784,12.771,12.743,0.952,13.677,13.677
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.458519,12.735,12.765,0.961,13.707,13.707
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.471289,12.770,12.789,0.958,13.727,13.727
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.484103,12.814,12.763,0.932,13.676,13.676
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.496841,12.738,12.630,0.957,13.568,13.568
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.509472,12.631,12.647,0.961,13.584,13.584
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.522135,12.662,12.664,0.943,13.585,13.585
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.534796,12.661,12.619,0.944,13.543,13.543
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.547415,12.619,12.411,0.944,13.335,13.335
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.559825,12.410,12.446,0.945,13.370,13.370
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.572283,12.457,12.411,0.934,13.324,13.324
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.584697,12.414,12.229,0.929,13.138,13.138
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.596973,12.277,11.945,0.881,12.807,12.807
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.608904,11.931,11.878,0.895,12.754,12.754
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.620912,12.007,11.923,0.765,12.669,12.669
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.632736,11.824,11.904,0.865,12.750,12.750
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.644616,11.881,11.883,0.888,12.752,12.752
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.656510,11.894,11.908,0.877,12.766,12.766
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.668408,11.898,11.910,0.892,12.778,12.778
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.680554,12.146,11.715,0.655,12.347,12.347
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.691925,11.371,11.665,0.999,12.641,12.641
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.703620,11.695,11.683,0.967,12.628,12.628
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.715314,11.694,11.666,0.953,12.601,12.601
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.727010,11.696,11.685,0.925,12.590,12.590
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.738798,11.788,11.689,0.821,12.491,12.491
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.750476,11.678,11.693,0.836,12.506,12.506
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.762129,11.653,11.740,0.885,12.593,12.593
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.773844,11.715,11.718,0.898,12.596,12.596
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.785570,11.727,11.537,0.889,12.406,12.406
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.797117,11.546,11.686,0.883,12.546,12.546
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.808807,11.690,11.696,0.874,12.552,12.552
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.820443,11.636,11.694,0.936,12.610,12.610
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.832142,11.698,11.657,0.932,12.569,12.569
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.843816,11.675,11.734,0.914,12.629,12.629
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.855529,11.713,11.683,0.935,12.599,12.599
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.867230,11.701,11.671,0.917,12.569,12.569
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.878878,11.648,12.020,0.941,12.941,12.941
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.890847,11.969,12.470,0.992,13.443,13.443
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.903366,12.519,12.426,0.942,13.350,13.350
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.915741,12.375,12.445,0.995,13.420,13.420
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,24.928203,12.462,12.484,0.977,13.442,13.442
